GiftId,TripId
75391,2881
79953,2881
30486,2881
38039,2881
1,2881
89289,2881
66811,2881
89702,2881
84389,2881
3280,2881
61596,2881
32738,2881
91989,2881
62806,2881
96915,2881
67777,2881
56518,2881
26689,2881
95670,2881
70410,2881
59951,2881
43884,2881
22275,2881
74748,2881
81095,2881
72562,2881
54848,2881
38511,3054
2,3054
48975,3054
51530,3054
62767,3054
98041,3054
15201,3054
19256,3054
75103,3054
93199,3054
63887,3054
59163,3054
10271,3054
9859,3054
11326,3054
26190,3054
58347,3054
76185,3054
63669,3054
92546,3054
60531,3054
66740,3054
43537,3054
11082,3054
79212,3054
76787,3054
18230,3054
42444,3054
67689,3054
25655,3054
11466,3054
82912,3054
44017,3054
87183,3054
93413,3054
44788,3054
92940,3054
84508,1485
26712,1485
62449,1485
96493,1485
23190,1485
78245,1485
10081,1485
66451,1485
85980,1485
39948,1485
93756,1485
41691,1485
47010,1485
35222,1485
8291,1485
5270,1485
21025,1485
65984,1485
33403,1485
34539,1485
59236,1485
96255,1485
26015,1485
30733,1485
53990,1485
3,1485
50217,1485
82072,1485
10550,3287
5603,3287
35728,3287
4,3287
93496,3287
37565,3287
97961,3287
18007,3287
92685,3287
80365,3287
81189,3287
31776,3287
20141,3287
48718,3287
56237,3287
86104,3287
43150,3287
30171,3287
87980,3287
29873,3287
28241,3287
26261,3287
31529,3287
74393,3287
17966,3287
76898,3287
13351,1553
59660,1553
37034,1553
48030,1553
35466,1553
92749,1553
31139,1553
59706,1553
84930,1553
99723,1553
5,1553
27133,1553
21496,1553
3292,1553
45782,1553
78548,1553
13788,1553
16115,1553
54715,1553
37365,1553
34284,1553
55372,1553
21151,1553
34635,1553
99453,871
53184,871
79144,871
78800,871
50141,871
81735,871
83839,871
11518,871
63607,871
24264,871
4692,871
82551,871
80582,871
4687,871
25375,871
9900,871
11724,871
35143,871
60612,871
22033,871
52653,871
69119,871
37590,871
86093,871
6,871
36678,871
531,871
44225,3682
96957,3682
15820,3682
81175,3682
16885,3682
73688,3682
99234,3682
19738,3682
4530,3682
26389,3682
59411,3682
51537,3682
14230,3682
19805,3682
54086,3682
7,3682
97238,3682
35722,3682
49703,3682
20974,3682
83443,3682
55974,3682
42492,3682
25818,3682
82970,1492
6719,1492
75066,1492
48460,1492
89541,1492
97139,1492
90710,1492
48726,1492
25920,1492
35696,1492
4287,1492
85931,1492
24276,1492
8,1492
76235,1492
44400,1492
71684,1492
57015,1492
59538,1492
75322,1492
46230,1492
43353,1492
31265,1492
97045,1492
76448,1492
49806,1492
25338,2627
65874,2627
87264,2627
68790,2627
48757,2627
62953,2627
30041,2627
990,2627
50850,2627
90340,2627
43176,2627
57179,2627
61862,2627
26827,2627
56795,2627
57286,2627
86764,2627
42744,2627
93374,2627
36947,2627
9,2627
45707,2627
93648,2627
28360,2627
77418,2627
21195,2457
87495,2457
36837,2457
47718,2457
29161,2457
35221,2457
71285,2457
46775,2457
10,2457
85744,2457
66580,2457
4102,2457
98161,2457
29580,2457
44339,2457
27794,2457
87174,2457
48418,2457
50687,2457
30088,2457
88446,2457
85186,2457
96009,2457
47875,2457
82800,2457
85461,2457
32529,2457
39565,2457
12763,2457
57337,2457
90647,2457
21276,253
11,253
12240,253
45508,253
98084,253
65118,253
96634,253
9117,253
78095,253
10635,253
91504,253
74201,253
60400,253
77003,253
81918,253
9013,253
53801,253
46037,253
72313,253
8319,253
10589,461
637,461
85233,461
45826,461
35093,461
12,461
95225,461
69580,461
62829,461
64007,461
65189,461
34232,461
19202,461
12826,461
82552,461
25483,461
54014,461
18944,461
19500,461
35612,461
66515,461
90003,461
99516,461
4673,461
32709,461
3864,461
34553,461
99405,461
36388,461
21899,461
98299,461
24532,461
56973,461
81445,461
28596,461
84049,461
63915,461
59960,461
36391,1997
17273,1997
43451,1997
40032,1997
13,1997
39258,1997
36333,1997
2279,1997
18319,1997
26571,1997
62960,1997
40261,1997
42724,1997
43971,1997
45632,1997
11321,1997
18779,1997
39810,2835
63462,2835
45760,2835
37507,2835
58618,2835
17129,2835
87739,2835
9610,2835
12271,2835
61832,2835
42617,2835
92062,2835
78052,2835
77317,2835
85152,2835
48804,2835
52856,2835
24216,2835
14,2835
51939,2835
89387,2835
88631,2835
74067,2821
14410,2821
77987,2821
51261,2821
27737,2821
22521,2821
94587,2821
69971,2821
22650,2821
69804,2821
73500,2821
15,2821
47272,2821
58177,2821
66404,2821
77209,2821
21584,2195
21279,2195
38044,2195
38990,2195
50482,2195
73410,2195
29602,2195
76320,2195
11035,2195
77252,2195
22840,2195
59529,2195
60997,2195
14573,2195
77199,2195
13419,2195
77034,2195
9458,2195
60975,2195
66792,2195
16,2195
63041,2195
35345,2195
96991,2195
49668,2195
75821,2195
94811,2195
39827,1305
17,1305
76425,1305
65019,1305
84876,1305
52580,1305
14885,1305
49880,1305
55812,1305
54362,1305
14074,1305
75515,1305
22870,2045
48830,2045
37579,2045
55102,2045
11167,2045
63502,2045
6452,2045
71127,2045
78075,2045
4001,2045
86577,2045
46107,2045
68619,2045
30381,2045
28455,2045
34693,2045
51869,2045
36576,2045
19193,2045
78176,2045
57253,2045
26485,2045
10213,2045
18,2045
65498,2250
93569,2250
19,2250
18356,2250
69666,2250
58495,2250
28215,2250
80073,2250
63899,2250
54700,2250
62362,2250
76353,2250
14604,2250
56666,2250
4451,2250
32837,2250
88821,2250
